,0,1
r_0299,,0.0
r_0300,,3.7922858475772454
r_0301,,0.0
r_0302,,0.06431057882960024
r_0303,,0.12862114930700608
r_0304,,3.9999997625272954e-07
r_0306,,0.0
r_0307,,0.02520157520837469
r_0308,,0.0
r_0309,,0.010777238705452968
r_0310,,0.0
r_0311,,0.09230642838428264
r_0312,,0.0
r_0314,,0.0
r_0315,,0.0
r_0317,,0.01493345349581432
r_0318,,0.0
r_0319,,0.0
r_0320,,0.0
r_0321,,0.0
r_0322,,0.0
r_0323,,0.0
r_0326,,-0.0009600000455520785
r_0327,,0.0
r_0328,,0.0
r_0329,,0.0
r_0330,,-0.0009600000455964042
r_0331,,0.0
r_0332,,0.0
r_0334,,0.0
r_0335,,0.0
r_0340,,0.0
r_0341,,0.0
r_0342,,0.0
r_0343,,0.0
r_0344,,0.0014653599999982507
r_0345,,0.0
r_0346,,2.535999999592241e-05
r_0347,,2.535999999592241e-05
r_0348,,0.0
r_0349,,-0.06749515700819675
r_0350,,2.535999999592241e-05
r_0351,,0.0
r_0352,,0.2661019637646609
r_0353,,0.1031576670894303
r_0354,,0.0
r_0355,,0.02986730699160489
r_0356,,0.0
r_0357,,0.0
r_0358,,0.0
r_0359,,0.0
r_0360,,0.0
r_0361,,0.28437585014785327
r_0362,,0.28437585014785327
r_0363,,0.0
r_0364,,0.002400000045554407
r_0365,,0.0
r_0366,,7.197035280386522
r_0368,,0.0
r_0369,,0.0
r_0370,,0.0
r_0373,,0.0
r_0399,,0.0
r_0400,,0.0
r_0402,,0.0
r_0410,,0.0
r_0412,,0.0
r_0436,,3.9999997625272954e-07
r_0437,,0.0
r_0438,,48.81803487954511
r_0439,,24.409017439772555
r_0440,,1.9999999999976125e-06
r_0441,,0.0
r_0442,,0.0
r_0443,,0.0
r_0445,,0.048582181375929005
r_0446,,0.41130249653514583
r_0447,,-0.44129786441550717
r_0448,,0.0
r_0449,,0.0
r_0450,,1.6405818366900389
r_0451,,2.5608968704092545
r_0452,,1.0122806391025014
